System,Year,Sale,Critic,User
PLAYSTATION,1994,1.27,69,63
PLAYSTATION,1996,17.48,89.2,82.6
PLAYSTATION,1997,30.89,85.33333333333333,85.16666666666667
PLAYSTATION,1998,43.08,80,84
PLAYSTATION,1999,49.02,79.64,83.84
PLAYSTATION,2000,75.09,70.16666666666667,74.42222222222222
PLAYSTATION,2001,165,70.25301204819277,74.5
PLAYSTATION,2002,170.14,70.05494505494505,76.2032967032967
PLAYSTATION,2003,144.32,70.78888888888889,79.61666666666666
PLAYSTATION,2004,192.8,69.21256038647343,78.2512077294686
PLAYSTATION,2005,156.92,69.52208835341365,77.10843373493977
PLAYSTATION,2006,138.9,68.40677966101696,74.42796610169492
PLAYSTATION,2007,152.22,68.76415094339623,70.34433962264151
PLAYSTATION,2008,156.63,68.13513513513513,69.96216216216216
PLAYSTATION,2009,143.4,71.08092485549133,69.40462427745665
PLAYSTATION,2010,141.57,69.07142857142857,68.5909090909091
PLAYSTATION,2011,138.19,71.15217391304348,67.76086956521739
PLAYSTATION,2012,94.24,73.34408602150538,68.31182795698925
PLAYSTATION,2013,127.36,72.07142857142857,65.48979591836735
PLAYSTATION,2014,91.99,70.80232558139535,66.05813953488372
PLAYSTATION,2015,80.13,72.3780487804878,67.91463414634147
PLAYSTATION,2016,57.13,72.56521739130434,68.66304347826087
XBOX,2000,0.99,79,85
XBOX,2001,20.69,72.15384615384616,76.3076923076923
XBOX,2002,40.25,71.75961538461539,75.8173076923077
XBOX,2003,42.43,71.6793893129771,77.41984732824427
XBOX,2004,58.52,72.671875,76.421875
XBOX,2005,49.09,71.40939597315436,73.09395973154362
XBOX,2006,56.13,69.75652173913043,70.4695652173913
XBOX,2007,89.96,69.22222222222223,69.70370370370371
XBOX,2008,129.17,69.075,70.55
XBOX,2009,110.71000000000001,68.26190476190476,68.72222222222223
XBOX,2010,157.37,66.44,66.896
XBOX,2011,129.56,68.45,66.275
XBOX,2012,95.59,72.34444444444445,65.81111111111112
XBOX,2013,89.69,70.95588235294117,61.970588235294116
XBOX,2014,57.19,70.30434782608695,64.8840579710145
XBOX,2015,44.24,74.61702127659575,64.2127659574468
XBOX,2016,23.36,73.96363636363637,66.0909090909091
